,song_number,song_name,song_root_note,song_mode
479,479,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_11_R1_2006_01-06_ORIG_MID--AUDIO_11_R1_2006_02_Track02_wav.midi,c,Todi
480,480,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_11_R1_2006_01-06_ORIG_MID--AUDIO_11_R1_2006_04_Track04_wav.midi,A-,Phrygian
481,481,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_01_Track01_wav.midi,b-,Dorian
482,482,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,c#,Dorian
483,483,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_03_Track03_wav.midi,A-,Ionian
484,484,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_04_Track04_wav.midi,A-,Ionian
485,485,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_05_Track05_wav.midi,D,Ionian
486,486,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_06_Track06_wav.midi,g,Aeolian
487,487,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_07_Track07_wav.midi,g,Harmonic_minor
488,488,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_08_Track08_wav.midi,d,Bhairav
489,489,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_01_Track01_wav.midi,e-,Marva
490,490,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_02_Track02_wav.midi,A-,Ionian
491,491,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_04_Track04_wav.midi,g#,Aeolian
492,492,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_05_Track05_wav.midi,f#,Harmonic_minor
493,493,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_13_R1_2006_01-06_ORIG_MID--AUDIO_13_R1_2006_06_Track06_wav.midi,F#,Ionian
494,494,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_01_Track01_wav.midi,c#,Aeolian
495,495,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.midi,B,Marva
496,496,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_04_Track04_wav.midi,c,Todi
497,497,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_15_R1_2006_01-05_ORIG_MID--AUDIO_15_R1_2006_01_Track01_wav.midi,b,Dorian
498,498,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_15_R1_2006_01-05_ORIG_MID--AUDIO_15_R1_2006_02_Track02_wav.midi,f#,Harmonic_minor
499,499,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_15_R1_2006_01-05_ORIG_MID--AUDIO_15_R1_2006_04_Track04_wav.midi,C#,Ionian
500,500,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R1_2006_01-04_ORIG_MID--AUDIO_16_R1_2006_01_Track01_wav.midi,F,Ionian
501,501,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R1_2006_01-04_ORIG_MID--AUDIO_16_R1_2006_02_Track02_wav.midi,B,Ionian
502,502,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R1_2006_01-04_ORIG_MID--AUDIO_16_R1_2006_03_Track03_wav.midi,c#,Aeolian
503,503,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R2_2006_01_ORIG_MID--AUDIO_16_R2_2006_01_Track01_wav.midi,B-,Harmonic_minor
504,504,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R2_2006_01_ORIG_MID--AUDIO_16_R2_2006_02_Track02_wav.midi,c#,Aeolian
505,505,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_16_R2_2006_01_ORIG_MID--AUDIO_16_R2_2006_03_Track03_wav.midi,B-,Ionian
506,506,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_01_Track01_wav.midi,c#,Dorian
507,507,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_02_Track02_wav.midi,g#,Mixolydian
508,508,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,d,Aeolian
509,509,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_01_Track01_wav.midi,F,Ionian
510,510,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.midi,A-,Mixolydian
511,511,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_03_Track03_wav.midi,c,Aeolian
512,512,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_04_Track04_wav.midi,f#,Aeolian
513,513,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_05_Track05_wav.midi,e-,Harmonic_minor
514,514,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,C,Ionian
515,515,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_02_Track02_wav.midi,b,Aeolian
516,516,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_03_Track03_wav.midi,C,Ionian
517,517,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,F#,Ionian
518,518,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_06_Track06_wav.midi,C#,Ionian
519,519,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_07_Track07_wav.midi,F#,Ionian
520,520,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_20_R1_2006_01-04_ORIG_MID--AUDIO_20_R1_2006_01_Track01_wav.midi,f,Harmonic_minor
521,521,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_20_R1_2006_01-04_ORIG_MID--AUDIO_20_R1_2006_04_Track04_wav.midi,B,Ionian
522,522,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_21_R1_2006_01-04_ORIG_MID--AUDIO_21_R1_2006_01_Track01_wav.midi,d,Aeolian
523,523,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_21_R1_2006_01-04_ORIG_MID--AUDIO_21_R1_2006_02_Track02_wav.midi,a,Harmonic_minor
524,524,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_01_Track01_wav.midi,E-,Ionian
525,525,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_02_Track02_wav.midi,B,Harmonic_minor
526,526,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_04_Track04_wav.midi,F#,Poorvi
527,527,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_01_Track01_wav.midi,a,Aeolian
528,528,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_02_Track02_wav.midi,C,Dorian
529,529,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_03_Track03_wav.midi,a,Harmonic_minor
530,530,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_22_R2_2006_01_ORIG_MID--AUDIO_22_R2_2006_04_Track04_wav.midi,a,Harmonic_minor
531,531,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R1_2006_01-05_ORIG_MID--AUDIO_23_R1_2006_02_Track02_wav.midi,G,Ionian
532,532,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R1_2006_01-05_ORIG_MID--AUDIO_23_R1_2006_04_Track04_wav.midi,B-,Ionian
533,533,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_01_Track01_wav.midi,C,Ionian
534,534,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_02_Track02_wav.midi,C,Dorian
535,535,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_03_Track03_wav.midi,a,Harmonic_minor
536,536,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_04_Track04_wav.midi,a,Harmonic_minor
537,537,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_01_Track01_wav.midi,E-,Ionian
538,538,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.midi,F#,Ionian
539,539,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi,b,Aeolian
540,540,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_04_Track04_wav.midi,D,Ionian
541,541,after mid-term\dataset\dataset\2006\MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_05_Track05_wav.midi,B,Ionian
542,542,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--1.midi,E-,Ionian
543,543,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--2.midi,F#,Ionian
544,544,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,C#,Ionian
545,545,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,C#,Ionian
546,546,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--2.midi,c,Aeolian
547,547,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--3.midi,a,Aeolian
548,548,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--4.midi,E,Ionian
549,549,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--5.midi,b-,Aeolian
550,550,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--1.midi,e-,Harmonic_minor
551,551,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--3.midi,C,Ionian
552,552,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--4.midi,e,Aeolian
553,553,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R2_2008_01-05_ORIG_MID--AUDIO_02_R2_2008_wav--5.midi,e,Aeolian
554,554,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--1.midi,c,Melodic_minor_ascend
555,555,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--2.midi,F,Lydian
556,556,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi,C,Ionian
557,557,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--1.midi,b-,Aeolian
558,558,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--2.midi,f,Harmonic_minor
559,559,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--3.midi,c#,Aeolian
560,560,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--4.midi,C#,Ionian
561,561,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--1.midi,c,Aeolian
562,562,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,e,Aeolian
563,563,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--3.midi,A,Marva
564,564,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_03_R3_2008_01-03_ORIG_MID--AUDIO_03_R3_2008_wav--1.midi,c,Melodic_minor_ascend
565,565,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--1.midi,g,Aeolian
566,566,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--2.midi,C,Ionian
567,567,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--4.midi,E-,Harmonic_minor
568,568,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi,A-,Mixolydian
569,569,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--3.midi,A-,Mixolydian
570,570,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--4.midi,f#,Aeolian
571,571,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--1.midi,c,Melodic_minor_ascend
572,572,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--2.midi,C,Ionian
573,573,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--3.midi,F,Ionian
574,574,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--4.midi,d,Harmonic_minor
575,575,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--5.midi,B-,Ionian
576,576,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--6.midi,f,Phrygian
577,577,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_04_R3_2008_01-07_ORIG_MID--AUDIO_04_R3_2008_wav--7.midi,c#,Ionian
578,578,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--1.midi,f#,Aeolian
579,579,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--2.midi,G,Ionian
580,580,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.midi,g#,Aeolian
581,581,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--4.midi,e-,Harmonic_minor
582,582,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.midi,b,Aeolian
583,583,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--2.midi,A-,Ionian
584,584,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--3.midi,C#,Ionian
585,585,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--4.midi,b-,Aeolian
586,586,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--1.midi,f,Aeolian
587,587,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--3.midi,A-,Ionian
588,588,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi,C#,Ionian
589,589,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi,F#,Ionian
590,590,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--1.midi,G,Ionian
591,591,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--2.midi,e,Aeolian
592,592,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--3.midi,b-,Harmonic_minor
593,593,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi,e-,Phrygian
594,594,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--1.midi,F#,Ionian
595,595,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--2.midi,g#,Aeolian
596,596,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--3.midi,D,Ionian
597,597,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R2_2008_01-05_ORIG_MID--AUDIO_07_R2_2008_wav--4.midi,A-,Ionian
598,598,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--1.midi,D,Ionian
599,599,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--2.midi,d,Aeolian
600,600,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,B,Ionian
601,601,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi,A-,Lydian
602,602,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--1.midi,g,Aeolian
603,603,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--2.midi,B-,Ionian
604,604,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--3.midi,c,Aeolian
605,605,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--4.midi,f,Aeolian
606,606,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R1_2008_01-05_ORIG_MID--AUDIO_08_R1_2008_wav--5.midi,a,Ionian
607,607,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--1.midi,E,Ionian
608,608,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--2.midi,F#,Ionian
609,609,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R2_2008_01-04_ORIG_MID--AUDIO_08_R2_2008_wav--4.midi,g,Aeolian
610,610,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--1.midi,F#,Mixolydian
611,611,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--2.midi,f#,Aeolian
612,612,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--3.midi,d,Aeolian
613,613,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--1.midi,b,Aeolian
614,614,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--2.midi,A-,Lydian
615,615,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--3.midi,g#,Aeolian
616,616,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--4.midi,a,Harmonic_minor
617,617,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R1_2008_01-05_ORIG_MID--AUDIO_09_R1_2008_wav--5.midi,B-,Ionian
618,618,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--1.midi,e-,Harmonic_minor
619,619,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--2.midi,E,Dorian
620,620,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--3.midi,e-,Aeolian
621,621,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R2_2008_01-05_ORIG_MID--AUDIO_09_R2_2008_wav--5.midi,c#,Ionian
622,622,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--1.midi,f,Dorian
623,623,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.midi,F,Ionian
624,624,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.midi,a,Dorian
625,625,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--4.midi,c,Melodic_minor_ascend
626,626,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--5.midi,b-,Dorian
627,627,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--7.midi,A,Ionian
628,628,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.midi,C#,Ionian
629,629,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--2.midi,C,Ionian
630,630,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--3.midi,C#,Ionian
631,631,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--4.midi,g#,Aeolian
632,632,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--1.midi,d,Aeolian
633,633,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--2.midi,D,Ionian
634,634,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--3.midi,g,Phrygian
635,635,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R2_2008_01-05_ORIG_MID--AUDIO_10_R2_2008_wav--4.midi,A-,Dorian
636,636,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--1.midi,d,Aeolian
637,637,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi,B,Ionian
638,638,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi,D,Ionian
639,639,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi,A-,Mixolydian
640,640,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--5.midi,c,Aeolian
641,641,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--1.midi,f,Aeolian
642,642,after mid-term\dataset\dataset\2008\MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--2.midi,F#,Ionian
